사건명,승패자,결과,요약된 내용
교통사고처리특례법위반,상고인,패소,"['【이유】상고이유를 판단한다', '원심은 피고인의 과실행위로 인하여 피해자를 사망에 이르게 하였다고 단정할 증거가 없다는 이유로 이 사건 공소사실에 대하여 피고인에게 무죄를 선고하였는바, 위 법리와 기록에 비추어 보면 원심의 판단은 정당하고, 거기에 과실범의 인과관계에 관한 법리오해 등의 위법은 없다', '그러므로 상고를 기각하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
특정범죄가중처벌등에관한법률위반(도주차량){인정된죄명:교통사고처리특례법위반·도로교통법위반(음주운전)·도로교통법위반},상고인,패소,"['또한 위 법리와 기록에 비추어 살펴보면, 이 사건 교통사고 후 도로상에 넘어진 피해자의 오토바이는 피고인이 위 사고현장을 떠나기 이전에 이미 위 구조대원 등 다른 사람에 의해 도로 한쪽으로 치워졌고, 달리 사고현장에 교통상의 위해가 될 만한 사정이 있었음을 인정할 자료가 보이지 아니하는바, 그렇다면 피고인이 사고현장을 떠날 당시 교통상의 위험과 장해를 방지·제거하기 위하여 더 이상의 특별한 조치가 필요하였다고 할 수 없으므로, 이런 상황이라면 설사 피고인이 사고로 피해자의 오토바이를 손괴한 후 직접 위 오토바이에 대한 조치를 취하지 않았다 하더라도 이에 대하여 따로         구 도로교통법 제106조 위반죄로 처벌할 수는 없다', '따라서 피고인의 행위는         구 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 및         구 도로교통법 제106조에 해당하지 아니한다고 판단한 다음, 도로교통법 위반(교통사고 후 미조치)의 점에 대하여는 무죄를 선고하고, 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)의 공소사실에 포함된 교통사고 처리 특례법 위반죄를 유죄로 인정하여 주문에서 그 형을 선고하면서 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)의 점에 대하여는 주문에서 따로 무죄의 선고를 하지 아니한 원심의 조치는 결론에 있어서 정당하고, 상고이유로 주장하는 바와 같이 채증법칙을 위배하여 사실을 오인하거나         구 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 소정의 도주에 관한 법리 또는         구 도로교통법 제50조 제1항 소정의 교통사고발생시의 조치에 관한 법리를 오해하여 판결 결과에 영향을 미친 위법이 없다', '2. 유죄부분에 대하여  검사는 원심판결 중 유죄 부분에 대하여도 불복한다는 취지의 상고장을 제출하였음에도 상고이유서에 그 부분에 관한 상고이유를 기재하고 있지 아니하므로, 이 부분에 대한 상고는 이유 없다']"
특정범죄가중처벌등에관한법률위반(도주차량){인정된죄명:교통사고처리특례법위반}ㆍ도로교통법위반ㆍ도로교통법위반(음주운전),상고인,패소,"['1. 제1심판시 택시 손괴 후 미조치에 의한 도로교통법위반 부분에 관하여(1차 사고 관련)  기록에 비추어 살펴보면, 당시 이 사건 사고의 경위 및 차량의 손상 정도, 사고 후 피고인이 취한 행동 등 제반 사정을 종합하여 피고인이                 공소외 1 운전의 택시와 스치듯 부딪혀 발생한 1차 사고를 인식하였다고 단정하기 어렵고, 달리 피고인이 위 사고 발생을 인식하였음을 인정할 증거가 없다는 이유로 무죄를 선고한 제1심의 판단을 유지한 원심의 조치는 정당하고, 그 판단에 채증법칙을 위배하여 사실을 오인하거나                 형법 제10조 제3항 소정의 원인에 있어서 자유로운 행위에 관한 법리를 오해한 위법이 없다', '그런데도 원심이 피고인이 잠시 동안 사고장소를 이탈하였다는 사정, 피고인이 당시 만취하였던 사정만을 근거로 피고인이 이 사건 사고 당시 도주의 고의가 있었다고 보기 어렵다는 이유로 이 사건 공소사실 중 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)의 점 및 승합차 손괴 후 미조치로 인한 도로교통법위반의 점에 대하여 무죄로 판단한 제1심을 유지한 것은 심리를 다하지 못하였거나 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄 및 교통사고 후 미조치로 인한 도로교통법위반죄에 관한 법리를 오해하여 판결 결과에 영향을 미친 위법이 있다', '3. 결 론  그러므로 원심판결 중 제1심판시 특정범죄 가중처벌 등에 관한 법률 위반(도주차량) 부분 및 승합차 손괴 후 미조치에 의한 도로교통법위반 부분은 파기되어야 할 것인바, 제1심판시 특정범죄 가중처벌 등에 관한 법률 위반(도주차량) 부분과 일죄 관계에 있는 제1심판시 교통사고처리특례법위반 부분과 판시 도로교통법위반(음주운전) 부분이                 형법 제37조 전단의 경합범관계에 있어 하나의 형이 선고되었으므로 원심판결 중 제1심판시 택시 손괴 후 미조치에 의한 도로교통법위반 부분을 제외한 나머지 부분을 파기하고, 이 부분 사건을 다시 심리ㆍ판단하게 하기 위하여 원심법원으로 환송하며, 검사의 나머지 상고를 기각하기로 관여 대법관의 의견이 일치되어 주문과 같이 판결한다']"
강도치상(인정된죄명:절도·상해)·특수강도·도로교통법위반(무면허운전)·사기·교통사고처리특례법위반,항소인,승소,"['피고인 1    (1) 사실오인 내지 법리오해의 점       원심판시 2006. 12. 1.자 범행(강도치상죄 부분)과 관련하여, 당시 피고인이 피해자         공소외 1에게 직접 반항을 억압할 정도의 폭행, 협박을 가하였다고 보기 어려워 이른바 날치기로서 절도죄가 성립할 뿐이므로 위 범죄사실은 절도와 상해 내지 폭행치상죄의 경합범이 된다고 할 것이고, 또 피해자의 상해는 극히 경미하여 자연 치유될 정도이고 별다른 치료를 받지 않더라도 일상생활을 함에 있어 아무런 지장이 없는 상태였으므로 굳이         형법 제337조에서 규정한 상해라고 보기 어려우므로, 어느 모로 보나 강도치상죄를 유죄로 인정할 수는 없다고 할 것임에도 원심이 피고인에게 강도치상죄를 유죄로 인정하였으니 원심판결에는 사실오인 내지 강도치상죄에 관한 법리오해의 위법이 있다', '(2) 양형부당의 점       피고인이 피해자         공소외 2,         공소외 1과 합의한 점, 잘못을 깊이 뉘우치고 있는 점 등에 비추어 원심이 피고인에게 선고한 징역 3년 6월의 형은 너무 무거워서 부당하다', '(2) 양형부당의 점       피고인이 피해자         공소외 2,         공소외 1과 합의한 점, 잘못을 깊이 뉘우치고 있는 점, 피고인의 건강상태 등을 종합하면, 원심이 피고인에게 선고한 징역 3년 6월의 형은 너무 무거워서 부당하다']"
교통사고처리특례법위반·도로교통법위반(음주운전)·도로교통법위반(무면허운전),상고인,패소,"['같은 취지에서 피고인에 대하여 음주로 인한 심신장애를 인정하지 아니한 원심의 조치는 정당하고, 거기에 상고이유의 주장과 같은 법리오해 등의 위법이 없다', '그리고 10년 미만의 징역형이 선고된 이 사건에서 원심의 형이 너무 무거워서 부당하다는 등의 사유는 적법한 상고이유가 되지 못한다', '그러므로 상고를 기각하고, 상고 후의 구금일수 중 일부를 본형에 산입하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반,항소인,패소,"['【이유】1. 검사의 항소이유의 요지(사실오인)   이 사건 사고 이전에는 가해차량의 엔진과 제동장치에 아무런 이상이 없었으므로(사고 후 가해차량의 변속기가 일부 손상되었음이 확인되었다고 하여 가해차량이 사고 당시 엔진과 제동장치에 문제가 있었다는 점에 대한 직접적인 증거가 될 수 없다), 가해차량이 스스로 급가속되어 진행하였다는 점을 인정할 수 없고, 그렇다면 결국 피고인에게 제동기와 가속기를 혼동하여 가속기를 밟아 진행하였다고 밖에 볼 수 없으며, 또한 피고인에게 의도가 있었는지 여부와 무관하게 가해차량이 일방통행로를 역주행하여 진입하였다는 것 자체로 피고인의 과실이 인정된다고 할 것임에도, 원심은 사실을 오인하여 공소사실을 무죄로 인정한 잘못이 있다', '(6) 피고인은 당시 대리운전을 의뢰받고 위 일방통행로가 끝나는 지점에 있는 ‘○○○ 숯불갈비’라는 음식점 앞에서 의뢰인이 나오기를 기다리고 있던 중, 일방통행로 쪽을 향해 주차되어 있던 가해차량이 보행자들의 통행에 방해가 되자 이를 약간 옆으로 옮기기 위해 가해차량의 시동을 걸었던 것일 뿐, 위와 같이 위 일방통행로를 고속으로 역주행해야 할 아무런 이유가 없었다', '(2) 한편, 당심에서 이 사건 공소사실 중 피고인의 과실 부분을 구체적으로 특정하여 밝히도록 한 재판장의 석명에 대하여 검사가 지적하고 있는 피고인의 과실은, 진입금지표지에 위반하여 일방통행로로 진입하였고, 조향 및 제동 장치를 정확하게 조작하였어야 함에도 불구하고 이를 게을리 하였다는 것이다']"
교통사고처리특례법위반,상고인,패소,"['【피고인】 【상고인】 피고인【원심판결】 대전지법 2007. 3. 15. 선고 2006노2528 판결【주문】상고를 기각한다', '【이유】상고이유를 판단한다', '그러므로 상고를 기각하기로 관여 대법관의 의견이 일치되어 주문과 같이 판결한다']"
특정범죄가중처벌 등에 관한 법률 위반(도주차량)(인정된 죄명: 교통사고처리특례법 위반),상고인,승소,"['왜냐 하면, 이 사건 사고에 관하여 원심이 인정한 사실관계 그 자체에 의하더라도 이 사건이 사고운전자가 실제로 피해자를 구호하는 등의 조치를 취할 필요가 있었다고 인정되지 아니하는 때에 해당하는 경우라고 보기는 어렵기 때문이다', '원심이 인정한 사실관계에 의하면, 피고인은 이 사건 사고 후 차를 세울 듯 말 듯 하며 주춤주춤하다가 그대로 진행하여 가 버렸고, 피해자의 점퍼가 찢어지고 오른손과 오른 무릎에 찰과상이 있었으며, 아반떼의 우측 후사경이 부서져 있었던바, 이런 정도의 차량과 사람 사이의 충돌이 있은 경우에 구호조치의 필요가 없었다고 볼 수는 없다', '그럼에도 불구하고, 이 사건 사고 당시의 상황이 피해자가 구호를 받아야 할 필요성이 있었다고 인정되지 아니하는 때에 해당한다 하여, 피고인을 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄로 처벌할 수 없다고 한 원심판결에는 같은 법률상의 도주차량의 법리를 오해하였거나 그 이유에 모순이 있거나 채증법칙을 위반하여 판결 결과에 영향을 미친 위법이 있다 할 것이므로 이 점을 지적하는 상고논지는 이유 있다 하겠다']"
교통사고처리특례법위반,상고인,패소,"['상고 후의 구금일수 중 65일을 본형에 산입한다', '【이유】  상고이유를 판단한다', '그러므로 상고를 기각하고, 상고 후의 구금일수 중 65일을 본형에 산입하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,패소,"['【피고인】 【상고인】 검사【변호인】 변호사 박헌경【원심판결】 대구지법 2006. 11. 29. 선고 2006노1777 판결【주문】상고를 기각한다', '【이유】  상고이유를 본다', '그러므로 상고를 기각하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다']"
특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반),상고인,패소,"['원심은, 그 채용증거를 종합하여 그 판시 사실을 인정한 다음, 이 사건 사고로 인한 피해자의 상해 부위와 정도, 특히 이 사건 사고 당시 피해자에게는 외관상 확인할 수 있는 출혈, 멍, 부종 등의 외상이 없었고 이 사건 사고로 인한 피해자의 상해는 특별한 치료를 받지 않았음에도 불구하고, 별다른 후유증 없이 완쾌된 점과 이 사건 사고 후 피해자의 태도 등에 비추어 보면, 피해자가 이 사건 사고로 인하여 피고인 등으로부터 구호를 받아야 할 필요성이 있었다고 보기 어렵고, 그 밖에 달리 이를 인정할 만한 아무런 증거가 없다는 이유로, 피고인을 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄로 처벌할 수 없다고 판단하였다', '원심이 피고인을 유죄라고 인정한 교통사고처리특례법 위반죄는 이 사건 공소사실과 동일성이 인정되고 공소제기된 범죄사실에 포함되어 있으며, 기록에 의하면, 제1심에서 원심에 이르기까지 심리과정에서 피고인의 교통사고처리특례법 위반의 점에 관하여 충분한 심리가 이루어졌음을 알 수 있으므로, 피고인을 그 죄로 처벌하더라도 피고인에게 방어권의 행사에 실질적 불이익을 초래할 염려가 있다고 볼 수는 없다', '원심이 적법하게 채택한 증거들을 기록에 비추어 살펴보면, 원심이, 피고인이 승객추락 등으로 인한 사고발생 방지의무를 위반하여 뒷문이 열린 상태에서 시내버스를 출발시킨 업무상 과실로 시내버스에서 내리던 피해자로 하여금 몸의 균형을 잃고 땅바닥에 넘어지게 하여 상해를 입게 하였다는 사실을 인정하여 이 사건 공소사실 중 교통사고처리특례법 위반의 점을 유죄로 판단한 것은 정당하고, 거기에 상고이유로 주장하는 바와 같은 채증법칙 위반으로 인한 사실오인 등의 위법이 없다']"
교통사고처리특례법위반,상고인,패소,"['도로교통법(2005. 5. 31. 법률 제7545호로 전문 개정되기 전의 것) 제119조 제3항에 의하면, 범칙금 납부 통고를 받고 범칙금을 납부한 사람은 그 범칙행위에 대하여 다시 벌받지 아니한다고 규정하고 있는바, 범칙금의 통고 및 납부 등에 관한 같은 법의 규정들의 내용과 취지에 비추어 볼 때 범칙자가 경찰서장으로부터 범칙행위를 하였음을 이유로 범칙금의 통고를 받고 그 범칙금을 납부한 경우 다시 벌받지 아니하게 되는 행위는 범칙금 통고의 이유에 기재된 당해 범칙행위 자체 및 그 범칙행위와 동일성이 인정되는 범칙행위에 한정된다고 해석함이 상당하다고 할 것이므로, 범칙행위와 같은 때, 같은 곳에서 이루어진 행위라 하더라도 범칙행위와 별개의 형사범죄행위에 대하여는 범칙금의 납부로 인한 불처벌의 효력이 미치지 아니한다고 할 것이다        (        대법원 1983. 7. 12. 선고 83도1296 판결,         2002. 11. 22. 선고 2001도849 판결 등 참조)', '그런데         교통사고로 인하여 업무상과실치상죄 또는 중과실치상죄를 범한 운전자에 대하여 피해자의 명시한 의사에 반하여 공소를 제기할 수 있도록 하고 있는           교통사고처리특례법 제3조 제2항 단서의 각 호에서 규정한 신호위반 등의 예외사유는           같은 법 제3조 제1항 위반죄의 구성요건 요소가 아니라 그 공소제기의 조건에 관한 사유일 뿐이고        (        대법원 2004. 11. 26. 선고 2004도4693 판결 참조), 또한         도로교통법 제117조 제2항 제2호는 범칙행위로 교통사고를 일으킨 사람이         교통사고처리특례법 제3조 제2항 단서의 규정에 따라         같은 법 제3조 제1항 위반죄의 벌을 받게 되는 경우에는 범칙금 통고처분을 할 수 있는 대상인 범칙자에서 제외되도록 규정하고 있는바, 이러한 관련 법률의 내용과 취지를 고려하면         같은 법 제3조 제2항 단서 각 호에서 규정한 예외사유에 해당하는 신호위반 등의 범칙행위와           같은 법 제3조 제1항 위반죄는 그 행위의 성격 및 내용이나 죄질 및 피해법익 등에 현저한 차이가 있어 동일성이 인정되지 않는 별개의 범죄행위라고 보아야 할 것이므로,           교통사고처리특례법 제3조 제2항 단서 각 호의 예외사유에 해당하는 신호위반 등의 범칙행위로 교통사고를 일으킨 사람이 통고처분을 받아 범칙금을 납부하였다고 하더라도 그 사람의 업무상과실치상죄 또는 중과실치상죄에 대하여           같은 법 제3조 제1항 위반죄로 처벌하는 것이           도로교통법 제119조 제3항에서 금지하는 이중처벌에 해당한다고 볼 수 없다', '그러므로 상고를 기각하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다']"
특정범죄가중처벌등에관한법률위반(도주차량)·교통사고처리특례법위반·도로교통법위반·도로교통법위반(무면허운전),항소인,승소,"['원심판결의 요지   원심은, 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄는 과실범과 고의범의 결합범으로 운전자의 업무상과실치상 행위는 구성요건의 일부인데, 피고인         2는 위 교통사고(이하 ‘이 사건 교통사고’라고 한다) 당시 위 에스엠파이브 승용차(이하 ‘이 사건 차량’이라고 한다)를 운전하지도 않았고, 피고인         2가 조수석에 앉아 길을 가르쳐 주었다는 것만으로는 피고인         2에게 운전자인 피고인         1과 운전행위를 함께 하였다거나 운전업무상 공동의 주의의무를 부담한다고 보기 어려우므로, 피고인         2에 대한 업무상과실치상 행위는 인정될 수 없으며, 피고인         2가 이 사건 교통사고 후 이 사건 차량을 몰고 가 사고 현장을 이탈하였다 하더라도 행위책임제한원칙에 비추어 피고인         2를 도주차량죄의 공동정범으로 보기도 어렵다 하여, 교통사고 후 미조치의 점에 대한 도로교통법 위반죄와 상상적 경합관계에 있는 피고인         2에 대한 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄에 대하여는 이유에서 무죄로 판단하였고, 피고인들에 대한 나머지 각 공소사실에 관하여는 모두 유죄로 인정하였다', '(2) 피고인         2  이 사건 교통사고는 피해자         공소외 2의 과실로 야기된 것이고, 더욱이 피고인         2는 이 사건 교통사고의 피해자에 불과하여 구호조치를 받아야 할 대상일 뿐, 구호조치의 의무자가 아니며, 이 사건 교통사고 후 이 사건 차량이 도로중앙선에 물려 있어 새로운 교통사고를 유발할 위험이 있었던 관계로 피고인         1과 자리를 바꿔 이 사건 차량을 운전하여 사고 현장을 이탈한 것일 뿐 도주의 범의가 없었고, 더욱이 이러한 행위는 도로교통법의 취지에도 부합하며, 또한 교통사고 후 미조치로 인한 도로교통법 위반죄는 ‘미조치’라는 소극적 행위를 처벌하는 것이지 피고인         2의 위와 같은 적극적인 위험도피 행위를 처벌하는 것은 아님에도 불구하고, 원심은 피고인         2에 대한 이 사건 공소사실 중 교통사고 후 미조치로 인한 도로교통법 위반죄에 관하여 피고인         1의 도주행위에 가담했다는 이유로 공동정범으로 판단하여 유죄를 인정하였으므로, 원심판결에는 사실을 오인하거나 법리를 오해하여 판결에 영향을 미친 위법이 있다', '(3) 검 사  피고인         2는 이 사건 차량에 단순히 동승하는 차원을 넘어서 운전자인 피고인         1에게 길을 가르쳐 주고 이 사건 교차로 내에서의 진행방향도 지시하는 등 피고인         1의 운전행위에 적극적으로 관여하였으므로, 피고인         2에게 이 사건 교통사고에 대하여 공동정범으로서의 책임이 있고, 이 사건 교통사고 발생 후에도 피고인         2가 피고인         1을 대신하여 이 사건 차량을 운전하여 그 현장을 이탈하였으므로, 피고인         2에게 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄가 인정됨에도 불구하고, 원심은 피고인         2에 대한 이 사건 공소사실 중 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)의 점에 관하여 무죄로 판단하였으므로, 원심판결에는 사실을 오인하거나 법리를 오해하여 판결에 영향을 미친 위법이 있다']"
특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반)·도로교통법위반(음주운전)·도로교통법위반,항소인,승소,"[')를 원심판시와 같이 손괴한 사실은 있지만, 피고인이 도주의 의사로 사고현장을 이탈하여 피해자를 구호하는 등의 필요한 조치를 취하지 아니한 채 그대로 도주한 사실이 없음에도 불구하고, 원심이 이 사건 각 공소사실 중 특정범죄 가중처벌 등에 관한 법률(이하 ‘특가법’이라 한다', ')위반(도주차량)의 점 및 도로교통법위반(교통사고 후 미조치)의 점을 유죄로 인정하였으므로, 원심판결에는 사실을 오인하거나 특가법위반(도주차량)죄 및 도로교통법위반(교통사고 후 미조치)죄에 관한 법리를 오해하여 판결결과에 영향을 미친 위법이 있고, 그렇지 않다고 하더라도 원심이 피고인에 대하여 선고한 형은 그 양정이 너무 무거워 부당하다', '(3) 다만 앞서 인정한 사실에 의하면, 피고인은 이 사건 사고 직후 자신이 체어맨을 운전하다가 이 사건 사고를 일으켰음에도 불구하고,         공소외 1이 체어맨을 운전하다가 이 사건 사고를 일으켰다고 허위의 진술함으로써 피해자 또는 경찰관 등에게 이 사건 사고 운전자의 신원을 확인할 수 있는 정확한 자료를 제공하지 아니하여 이 사건 사고를 낸 자가 누구인지 확정할 수 없는 상태를 초래하였다고 볼 여지가 있다']"
특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반),항소인,승소,"['이 사건 공소사실의 요지 및 원심판결의 요지  이 사건 공소사실의 요지는, “피고인은 2005. 3. 30. 08:50경 업무로 시내버스를 운전하던 중 아래의 범죄사실란의 기재와 같은 경위와 업무상 과실로 교통사고를 내어 피해자로 하여금 약 2주간의 치료를 요하는 우측발목 염좌 등의 상해를 입게 한 후 즉시 정차하여 피해자를 구호하는 등 필요한 조치를 취하지 아니하고 그대로 도주하였다', '(가) 피고인은 2005. 3. 30. 08:50경 업무로 시내버스를 운전하던 중 아래의 범죄사실란의 기재와 같은 경위와 업무상 과실로 교통사고를 일으켜 피해자로 하여금 약 2주간의 치료를 요하는 우측 발목 염좌 등의 상해를 입게 하였다(이하 위 교통사고를 ‘이 사건 사고’라 한다', '그럼에도 불구하고 원심이 이 사건 각 공소사실 중 특가법위반(도주차량)의 점을 유죄로 인정하였으므로, 원심판결에는 사실을 오인하거나 특가법위반(도주차량)죄에 관한 법리를 오해하여 판결결과에 영향을 미친 위법이 있다']"
교통사고처리특례법위반·도로교통법위반(무면허운전)·도로교통법위반(음주운전),항고인,승소,"['항소 후의 원심 구금일수 79일을 제1심판결 판시 제2의 죄에 대한 형에 산입한다', '항소심이 피고인의 항소를 기각하면서 판결 선고 전의 미결 구금일수를 제1심판결의 선고형에 산입하는 경우에 제1심판결의 선고형이 2개 이상 있을 때에는 그 중 어느 형에 산입하는지를 분명히 해야 할 것이다(        대법원 1995. 7. 11. 선고 95도1084 판결 등)', '기록에 의하면, 제1심판결의 피고인에 대한 형은 징역형과 벌금형이 따로 선고된 것임이 분명한데도 원심은 피고인의 항소를 기각하면서 “이 판결 선고 전 당심 구금일수 79일을 원심판결의 형에 산입한다']"
교통사고처리특례법위반,항소인,승소,"['【이유】1. 검사의 항소이유의 요지  이 사건 교통사고처리특례법위반의 공소사실은 피고인이 통고처분을 받아 범칙금을 납부한 범칙행위 사실과 그 내용이나, 행위의 태양, 피해법익 및 죄질에 있어 동일성이 인정된다고 볼 수 없음에도 불구하고, 원심은 그 동일성이 인정된다고 판단하여         도로교통법 제199조 제3항에 따라 피고인에게 면소를 선고하였으니, 원심판결에는 법리를 오해하여 판결에 영향을 미친 위법이 있다', '공소사실의 요지 및 원심의 판단   이 사건 공소사실의 요지는, 피고인은 버스운전기사로서, 2005. 8. 26. 22:05경         (차량번호 생략) 시내버스를 시속 약 30km로 운전하여 효성동 구사거리 방면에서 아나지 삼거리 방면으로 진행하던 중 인천 계양구 효성동 515-9 소재 신호등이 설치된 사거리 교차로에 이르러 정지신호를 무시하고 직진하여 위 교차로에 진입한 업무상 과실로, 진행 방향 우측 도로에서 신호에 위반하여 위 교차로에 진입한         공소외 1 운전의 인천         (차량번호 생략)호 오토바이 좌측 부분을 위 버스 앞 범퍼 부분으로 들이받으면서 급제동을 하여, 그 충격으로 위 버스에 타고 있던 피해자         공소외 2,         3,         4,         5,         6,         7,         8,         9,         10,         11,         12로 하여금 각 약 2주간의 치료를 요하는 우슬관절 염좌 등의 상해를 각 입게 하였다는 것이다', '【범죄사실】피고인은 버스운전기사로서, 2005. 8. 26. 22:05경           (차량번호 생략) 시내버스를 시속 약 30km로 운전하여 효성동 구사거리 방면에서 아나지 삼거리 방면으로 진행하던 중 인천 계양구 효성동 515-9 소재 신호등이 설치된 사거리 교차로에 이르러 정지신호를 무시하고 직진하여 위 교차로에 진입한 업무상 과실로, 진행 방향 우측 도로에서 신호에 위반하여 위 교차로에 진입한           공소외 1 운전의 인천           (차량번호 생략)호 오토바이 좌측 부분을 위 버스 앞 범퍼 부분으로 들이받으면서 급제동을 하여, 그 충격으로 위 버스에 타고 있던 피해자           공소외 2,           3,           4,           5,           6,           7,           8,           9,           10,           11,           12로 하여금 각 약 2주간의 치료를 요하는 우슬관절 염좌 등의 상해를 각 입게 하였다']"
교통사고처리특례법위반·도로교통법위반,상고인,패소,"['한편, 협정 제22조(형사재판권) 제4항은 “본조의 전기 제 규정은 합중국 군 당국이 대한민국의 국민인 자 또는 대한민국에 통상적으로 거주하고 있는 자에 대하여 재판권을 행사할 권리를 가진다는 것을 뜻하지 아니한다', '위 조항들에 의하면,         미합중국 군대의 군속 중 통상적으로 대한민국에 거주하고 있는 자는 협정이 적용되는 군속의 개념에서 배제되므로, 그에 대하여는 대한민국의 형사재판권 등에 관하여 협정에서 정한 조항이 적용될 여지가 없다', '한편, 협정 제22조 제1항 (가)는 “합중국 군 당국은 합중국 군대의 구성원, 군속 및 그들의 가족에 대하여 합중국 법령이 부여한 모든 형사재판권 및 징계권을 대한민국 안에서 행사할 권리를 가진다']"
특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반),상고인,승소,"['2. 상고이유에 대한 판단‘특정범죄 가중처벌 등에 관한 법률’ 제5조의3 제1항에 정하여진 ‘피해자를 구호하는 등           도로교통법 제50조 제1항의 규정에 의한 조치를 취하지 아니하고 도주한 때’라고 함은 사고운전자가 사고로 인하여 피해자가 사상을 당한 사실을 인식하였음에도 불구하고 ‘          도로교통법 제50조 제1항의 규정에 의한 조치’를 취하지 아니하고 사고장소를 이탈하여 사고를 낸 사람이 누구인지 확정될 수 없는 상태를 초래하는 경우를 말하므로, 위 ‘          도로교통법 제50조 제1항의 규정에 의한 조치’에는 피해자나 경찰관 등 교통사고와 관계있는 사람에게 사고운전자의 신원을 밝히는 것도 포함된다        (        대법원 2003. 3. 25. 선고 2002도5748 판결 등 참조)', '원심이 인정한 사실에 의하더라도, 피고인은 푸른정형외과 병원을 떠나기 전에 피해자나 위 병원관계자 혹은 이 사건 교통사고를 조사하는 경찰관에게 피고인의 신원을 밝힌 바 없음을 알 수 있고, 푸른정형외과 병원 이전에 들렀던 제일병원의 접수담당 직원이 피고인과 피해자를 알고 있다거나 피고인이 당시 자신이 근무하는 회사의 로고가 새겨진 옷을 입고 있었다고 하더라도, 그것만으로 피해자나 피해자를 치료하는 푸른정형외과 병원관계자가 피고인을 알고 있었다거나 쉽게 찾아낼 수 있다고 보이지 아니하는바, 이와 같이 피해자 등이 가해 운전자의 신원을 쉽게 확인할 수 없는 상태에서 피고인이 피해자 등에게 자신의 신원을 밝히지 아니한 채 병원을 이탈하였다면, 이는 사고를 낸 사람이 누구인지 확정될 수 없는 상태를 초래한 경우에 해당한다고 할 것이고, 따라서 비록 피고인이 이 사건 교통사고 후 피해자를 병원에 후송하여 치료를 받게 하는 등의 구호조치는 취하였다고 하더라도 그것만으로 ‘        도로교통법 제50조 제1항의 규정에 의한 조치’를 모두 취하였다고 볼 수 없다', '그럼에도 불구하고, 원심은 이와 달리 피고인이 피해자를 병원에 후송하여 치료를 받게 하였다는 등 그 인정과 같은 사실만으로 피고인이 병원을 떠나기 전 ‘        도로교통법 제50조 제1항의 규정에 의한 조치’를 모두 취하였다고 보아 이 사건 공소사실을 무죄라고 판단하였는바, 원심판결에는         ‘특정범죄 가중처벌 등에 관한 법률’ 제5조의3 제1항 소정의 도주에 관한 법리를 오해하였거나 채증법칙을 위반하여 사실을 잘못 인정한 위법이 있다고 할 것이다']"
